billing_id,subscriber_id,billing_date,amount_due,payment_status,retry_count
B00000001,S000001,2025-07-05,17.99,paid,0
B00000002,S000001,2025-08-04,17.99,paid,0
B00000003,S000001,2025-09-04,17.99,paid,0
B00000004,S000001,2025-10-04,17.99,paid,0
B00000005,S000001,2025-11-04,17.99,disputed,3
B00000006,S000001,2025-12-04,17.99,paid,0
B00000007,S000001,2026-01-04,17.99,paid,0
B00000008,S000001,2026-02-03,17.99,paid,0
B00000009,S000001,2026-03-06,17.99,failed,2
B00000010,S000001,2026-04-05,17.99,paid,0
B00000011,S000001,2026-05-06,17.99,paid,0
B00000012,S000001,2026-06-05,17.99,paid,0
B00000013,S000002,2025-07-05,11.99,paid,0
B00000014,S000002,2025-08-04,11.99,paid,0
B00000015,S000002,2025-09-04,11.99,paid,0
B00000016,S000002,2025-10-04,11.99,paid,0
B00000017,S000002,2025-11-04,11.99,paid,0
B00000018,S000002,2025-12-04,11.99,paid,0
B00000019,S000002,2026-01-04,11.99,paid,0
B00000020,S000002,2026-02-03,11.99,paid,0
B00000021,S000002,2026-03-06,11.99,paid,0
B00000022,S000002,2026-04-05,11.99,paid,0
B00000023,S000002,2026-05-06,11.99,paid,0
B00000024,S000002,2026-06-05,11.99,paid,0
B00000025,S000003,2026-06-05,17.99,paid,0
B00000026,S000004,2025-07-05,11.99,paid,0
B00000027,S000004,2025-08-04,11.99,paid,0
B00000028,S000004,2025-09-04,11.99,paid,0
B00000029,S000004,2025-10-04,11.99,paid,0
B00000030,S000004,2025-11-04,11.99,paid,0
B00000031,S000004,2025-12-04,11.99,paid,0
B00000032,S000004,2026-01-04,11.99,paid,0
B00000033,S000004,2026-02-03,11.99,paid,0
B00000034,S000004,2026-03-06,11.99,paid,0
B00000035,S000004,2026-04-05,11.99,paid,0
B00000036,S000004,2026-05-06,11.99,failed,2
B00000037,S000004,2026-06-05,11.99,paid,0
B00000038,S000005,2025-09-04,6.99,paid,0
B00000039,S000005,2025-10-04,6.99,paid,0
B00000040,S000005,2025-11-04,6.99,paid,0
B00000041,S000005,2025-12-04,6.99,failed,1
B00000042,S000005,2026-01-04,6.99,disputed,3
B00000043,S000005,2026-02-03,6.99,paid,0
B00000044,S000005,2026-03-06,6.99,paid,0
B00000045,S000005,2026-04-05,6.99,paid,0
B00000046,S000005,2026-05-06,6.99,paid,0
B00000047,S000005,2026-06-05,6.99,paid,0
B00000048,S000006,2025-07-05,17.99,paid,0
B00000049,S000006,2025-08-04,17.99,paid,0
B00000050,S000006,2025-09-04,17.99,paid,0
B00000051,S000006,2025-10-04,17.99,paid,0
B00000052,S000006,2025-11-04,17.99,paid,0
B00000053,S000006,2025-12-04,17.99,paid,0
B00000054,S000006,2026-01-04,17.99,paid,0
B00000055,S000006,2026-02-03,17.99,paid,0
B00000056,S000006,2026-03-06,17.99,paid,0
B00000057,S000006,2026-04-05,17.99,paid,0
B00000058,S000006,2026-05-06,17.99,paid,0
B00000059,S000006,2026-06-05,17.99,paid,0
B00000060,S000007,2026-02-03,11.99,paid,0
B00000061,S000007,2026-03-06,11.99,paid,0
B00000062,S000007,2026-04-05,11.99,failed,1
B00000063,S000007,2026-05-06,11.99,paid,0
B00000064,S000007,2026-06-05,11.99,paid,0
B00000065,S000008,2025-09-04,17.99,paid,0
B00000066,S000008,2025-10-04,17.99,paid,0
B00000067,S000008,2025-11-04,17.99,failed,1
B00000068,S000008,2025-12-04,17.99,failed,1
B00000069,S000008,2026-01-04,17.99,paid,0
B00000070,S000008,2026-02-03,17.99,paid,0
B00000071,S000008,2026-03-06,17.99,paid,0
B00000072,S000008,2026-04-05,17.99,paid,0
B00000073,S000008,2026-05-06,17.99,paid,0
B00000074,S000008,2026-06-05,17.99,paid,0
B00000075,S000009,2025-07-05,6.99,paid,0
B00000076,S000009,2025-08-04,6.99,paid,0
B00000077,S000009,2025-09-04,6.99,paid,0
B00000078,S000009,2025-10-04,6.99,paid,0
B00000079,S000009,2025-11-04,6.99,paid,0
B00000080,S000009,2025-12-04,6.99,paid,0
B00000081,S000009,2026-01-04,6.99,paid,0
B00000082,S000009,2026-02-03,6.99,paid,0
B00000083,S000009,2026-03-06,6.99,paid,0
B00000084,S000009,2026-04-05,6.99,paid,0
B00000085,S000009,2026-05-06,6.99,paid,0
B00000086,S000009,2026-06-05,6.99,paid,0
B00000087,S000010,2025-07-05,11.99,paid,0
B00000088,S000010,2025-08-04,11.99,paid,0
B00000089,S000010,2025-09-04,11.99,paid,0
B00000090,S000010,2025-10-04,11.99,paid,0
B00000091,S000010,2025-11-04,11.99,failed,2
B00000092,S000010,2025-12-04,11.99,paid,0
