subscriber_id,signup_date,plan,payment_method,age,gender,country,device_primary,churned_30d
S000001,2025-01-18,premium,credit_card,,M,UK,mobile,0
S000002,2024-10-18,standard,credit_card,53.0,,UK,tv,0
S000003,2026-05-21,premium,debit_card,16.0,F,UK,laptop,0
S000004,2024-12-18,standard,credit_card,64.0,F,UK,tv,0
S000005,2025-08-19,basic,paypal,36.0,F,UK,laptop,0
S000006,2025-01-18,premium,credit_card,40.0,F,UK,tv,0
S000007,2026-01-19,standard,credit_card,29.0,F,UK,tv,0
S000008,2025-08-19,premium,debit_card,33.0,F,UK,tablet,0
S000009,2023-03-19,basic,debit_card,36.0,F,UK,mobile,0
S000010,2024-12-18,standard,paypal,22.0,F,UK,tv,0
S000011,2023-12-18,standard,paypal,25.0,M,UK,mobile,0
S000012,2025-05-20,premium,debit_card,47.0,M,UK,tv,1
S000013,2026-03-21,standard,voucher,16.0,F,UK,tv,0
S000014,2026-05-21,premium,credit_card,38.0,F,UK,tv,0
S000015,2025-05-20,standard,voucher,29.0,F,UK,mobile,0
S000016,2025-03-20,basic,debit_card,23.0,F,UK,tv,0
S000017,2025-11-19,standard,credit_card,55.0,F,UK,tablet,0
S000018,2025-03-20,basic,debit_card,23.0,F,UK,tablet,0
S000019,2024-02-17,premium,debit_card,21.0,F,UK,tv,0
S000020,2025-07-20,standard,debit_card,31.0,M,UK,mobile,0
S000021,2024-07-19,standard,credit_card,25.0,M,UK,mobile,0
S000022,2021-09-16,standard,credit_card,34.0,M,UK,mobile,1
S000023,2023-10-18,premium,debit_card,35.0,M,UK,mobile,0
S000024,2025-09-19,premium,debit_card,36.0,F,UK,mobile,0
S000025,2026-01-19,premium,voucher,32.0,M,UK,tv,0
S000026,2025-03-20,basic,voucher,26.0,F,UK,mobile,0
S000027,2023-06-18,standard,debit_card,41.0,M,UK,tv,0
S000028,2024-10-18,basic,debit_card,32.0,F,UK,laptop,0
S000029,2022-05-18,basic,debit_card,28.0,M,UK,mobile,0
S000030,2022-02-15,standard,paypal,50.0,F,UK,mobile,0
S000031,2025-06-19,standard,paypal,32.0,F,IE,mobile,0
S000032,2024-02-17,premium,debit_card,46.0,F,UK,tv,0
S000033,2025-05-20,basic,debit_card,47.0,,UK,tv,0
S000034,2026-05-21,standard,paypal,48.0,F,UK,tv,0
S000035,2021-06-16,standard,debit_card,41.0,,UK,mobile,1
S000036,2025-01-18,basic,credit_card,33.0,F,UK,mobile,0
S000037,2025-06-19,basic,debit_card,33.0,F,UK,tv,0
S000038,2026-04-20,standard,credit_card,31.0,M,UK,mobile,0
S000039,2025-12-19,basic,credit_card,16.0,F,UK,tv,1
S000040,2025-12-19,standard,debit_card,41.0,M,UK,mobile,0
S000041,2024-07-19,standard,debit_card,36.0,M,UK,tv,0
S000042,2023-03-19,premium,voucher,43.0,M,UK,laptop,0
S000043,2026-04-20,standard,voucher,32.0,M,UK,mobile,0
S000044,2024-11-18,basic,debit_card,41.0,M,UK,mobile,0
S000045,2026-04-20,premium,credit_card,18.0,F,UK,tablet,0
S000046,2025-10-19,premium,credit_card,21.0,F,IE,tablet,0
S000047,2021-06-16,standard,voucher,16.0,other,UK,mobile,0
S000048,2024-12-18,basic,debit_card,32.0,M,UK,tv,0
S000049,2025-05-20,standard,credit_card,25.0,F,UK,tv,0
S000050,2023-02-16,basic,debit_card,24.0,M,UK,tv,0
S000051,2024-08-18,basic,credit_card,37.0,M,UK,tablet,0
S000052,2025-12-19,basic,debit_card,29.0,M,UK,mobile,0
S000053,2025-03-20,premium,paypal,18.0,F,UK,tv,0
S000054,2025-02-17,standard,debit_card,61.0,F,UK,tv,0
S000055,2025-02-17,standard,debit_card,33.0,M,UK,mobile,0
S000056,2025-10-19,premium,credit_card,22.0,M,UK,mobile,0
S000057,2024-10-18,standard,credit_card,26.0,M,UK,tablet,0
S000058,2025-07-20,standard,credit_card,32.0,M,UK,mobile,0
S000059,2022-08-17,basic,debit_card,,F,UK,tv,1
S000060,2025-12-19,basic,credit_card,48.0,F,IE,tablet,1
S000061,2024-09-18,standard,debit_card,33.0,F,UK,mobile,0
S000062,2024-10-18,standard,credit_card,54.0,other,UK,mobile,0
S000063,2025-09-19,standard,debit_card,29.0,M,UK,tv,0
S000064,2026-02-18,standard,credit_card,38.0,F,UK,tablet,0
S000065,2026-04-20,standard,debit_card,45.0,F,IE,tv,0
S000066,2024-11-18,standard,debit_card,47.0,M,UK,tv,0
S000067,2025-08-19,standard,credit_card,48.0,F,UK,tv,0
