ticket_id,subscriber_id,ticket_date,category,resolved,resolution_days
T0000001,S000001,2026-02-10,technical,1,0.5
T0000002,S000002,2025-12-27,content,1,3.7
T0000003,S000003,2026-01-09,cancellation_intent,0,
T0000004,S000003,2026-05-29,technical,1,1.0
T0000005,S000004,2026-02-08,billing,1,11.0
T0000006,S000005,2026-04-17,technical,0,
T0000007,S000006,2025-12-28,technical,0,
T0000008,S000006,2026-04-17,billing,1,2.3
T0000009,S000008,2026-05-09,technical,1,4.9
T0000010,S000009,2025-12-27,other,1,0.8
T0000011,S000009,2025-12-31,billing,1,2.0
T0000012,S000010,2026-05-09,technical,0,
T0000013,S000012,2026-01-07,other,1,2.6
T0000014,S000012,2026-02-27,billing,0,
T0000015,S000012,2026-04-07,other,0,
T0000016,S000012,2026-04-19,cancellation_intent,1,1.8
T0000017,S000012,2026-05-11,cancellation_intent,1,6.5
T0000018,S000013,2025-12-23,content,0,
T0000019,S000014,2026-01-22,cancellation_intent,1,0.5
T0000020,S000014,2026-03-05,technical,1,0.9
T0000021,S000017,2026-05-14,billing,1,2.3
T0000022,S000017,2026-05-29,cancellation_intent,1,1.2
T0000023,S000018,2026-03-07,billing,1,0.8
T0000024,S000019,2026-03-18,technical,1,1.1
T0000025,S000020,2026-01-04,technical,0,
T0000026,S000022,2026-05-05,other,0,
T0000027,S000022,2026-05-18,content,1,0.5
T0000028,S000023,2026-04-07,content,1,1.6
T0000029,S000023,2026-04-18,technical,1,1.5
T0000030,S000023,2026-05-06,technical,0,
T0000031,S000025,2026-01-25,cancellation_intent,1,4.7
T0000032,S000025,2026-05-02,billing,1,1.5
T0000033,S000028,2026-05-08,technical,1,2.7
T0000034,S000030,2025-12-30,technical,1,0.6
T0000035,S000030,2026-05-25,billing,1,4.5
T0000036,S000031,2026-02-24,technical,1,0.5
T0000037,S000031,2026-03-26,other,0,
T0000038,S000032,2026-02-14,content,1,
T0000039,S000033,2026-05-22,other,1,1.0
T0000040,S000033,2026-06-16,other,1,0.5
T0000041,S000034,2026-04-13,content,1,4.7
T0000042,S000034,2026-06-02,technical,1,
T0000043,S000036,2026-01-31,technical,0,
T0000044,S000036,2026-03-15,content,1,0.5
T0000045,S000036,2026-05-27,other,1,0.8
T0000046,S000038,2026-02-17,cancellation_intent,1,3.8
T0000047,S000038,2026-03-21,other,1,3.6
T0000048,S000038,2026-05-12,content,1,0.5
T0000049,S000039,2025-12-27,cancellation_intent,1,0.5
T0000050,S000039,2026-01-19,cancellation_intent,1,0.5
T0000051,S000040,2026-04-23,billing,0,
T0000052,S000040,2026-05-04,billing,1,1.2
T0000053,S000042,2026-03-13,billing,0,
T0000054,S000042,2026-03-24,technical,1,1.0
T0000055,S000044,2025-12-27,content,1,2.6
T0000056,S000045,2026-01-28,billing,1,3.9
T0000057,S000045,2026-03-19,content,1,4.8
T0000058,S000045,2026-04-14,billing,1,1.5
T0000059,S000046,2025-12-23,technical,0,
T0000060,S000046,2026-02-17,content,0,
T0000061,S000048,2026-02-26,billing,1,1.8
T0000062,S000049,2026-05-02,other,1,1.4
T0000063,S000050,2026-06-16,technical,1,1.4
T0000064,S000051,2026-03-13,technical,1,2.8
T0000065,S000052,2026-02-23,cancellation_intent,1,0.5
T0000066,S000052,2026-04-14,billing,0,
T0000067,S000052,2026-06-17,billing,1,2.9
T0000068,S000053,2026-03-28,other,1,
T0000069,S000053,2026-03-30,technical,1,1.9
T0000070,S000055,2026-02-14,billing,0,
T0000071,S000055,2026-03-01,billing,1,
T0000072,S000055,2026-03-02,cancellation_intent,1,0.5
T0000073,S000055,2026-03-30,billing,1,1.2
T0000074,S000056,2026-02-09,cancellation_intent,1,6.4
T0000075,S000056,2026-04-08,cancellation_intent,0,
T0000076,S000058,2026-03-01,other,0,
T0000077,S000060,2025-12-31,cancellation_intent,1,
T0000078,S000060,2026-01-06,other,1,0.8
T0000079,S000062,2026-02-25,billing,1,1.7
T0000080,S000063,2025-12-22,billing,1,0.5
T0000081,S000063,2026-02-17,content,0,
T0000082,S000064,2026-01-16,billing,0,
T0000083,S000064,2026-03-04,billing,1,1.0
T0000084,S000065,2026-04-11,content,1,2.0
T0000085,S000066,2026-05-26,other,1,1.3
T0000086,S000068,2026-01-21,billing,1,1.2
T0000087,S000068,2026-02-17,other,0,
T0000088,S000068,2026-04-05,billing,1,5.0
T0000089,S000070,2026-03-08,other,1,0.8
T0000090,S000070,2026-03-20,other,0,
T0000091,S000071,2026-01-27,content,0,
T0000092,S000071,2026-02-04,cancellation_intent,1,5.9
T0000093,S000071,2026-04-14,other,1,1.0
T0000094,S000073,2026-04-08,other,1,0.5
T0000095,S000074,2026-01-31,billing,1,3.5
T0000096,S000074,2026-02-10,technical,1,0.5
T0000097,S000074,2026-03-05,billing,0,
T0000098,S000074,2026-03-16,billing,1,9.3
T0000099,S000074,2026-04-24,cancellation_intent,1,5.0
T0000100,S000075,2026-05-13,billing,1,1.4
T0000101,S000076,2026-05-02,other,1,1.3
T0000102,S000076,2026-05-20,billing,1,6.0
T0000103,S000077,2026-01-19,billing,0,
T0000104,S000078,2026-03-16,cancellation_intent,1,3.8
T0000105,S000079,2026-01-30,other,1,
T0000106,S000079,2026-05-31,other,0,
T0000107,S000081,2026-01-24,other,0,
T0000108,S000083,2026-02-01,other,1,0.5
T0000109,S000083,2026-03-23,cancellation_intent,1,1.6
T0000110,S000083,2026-05-27,technical,1,
T0000111,S000085,2026-01-23,billing,0,
T0000112,S000086,2025-12-25,content,1,3.0
T0000113,S000086,2026-04-10,other,1,0.6
T0000114,S000086,2026-05-16,billing,0,
T0000115,S000087,2026-01-25,cancellation_intent,0,
T0000116,S000087,2026-05-25,billing,1,18.3
T0000117,S000090,2026-01-25,other,1,1.4
T0000118,S000091,2026-02-14,cancellation_intent,1,3.3
T0000119,S000092,2025-12-27,other,1,2.0
T0000120,S000092,2026-05-29,technical,1,6.9
T0000121,S000093,2026-02-11,content,1,2.4
T0000122,S000093,2026-06-09,technical,1,5.2
T0000123,S000093,2026-06-16,cancellation_intent,1,1.4
T0000124,S000095,2026-01-01,billing,1,
T0000125,S000095,2026-04-20,other,1,0.5
T0000126,S000095,2026-05-30,other,1,1.1
T0000127,S000096,2026-03-22,billing,1,4.5
T0000128,S000100,2026-02-18,technical,1,1.6
T0000129,S000101,2026-05-02,other,1,1.0
T0000130,S000103,2026-02-24,other,1,2.4
T0000131,S000103,2026-03-23,billing,1,
T0000132,S000105,2026-01-31,cancellation_intent,1,
T0000133,S000105,2026-02-14,cancellation_intent,1,4.1
T0000134,S000105,2026-06-12,cancellation_intent,0,
T0000135,S000106,2025-12-22,billing,0,
T0000136,S000106,2026-03-25,technical,1,1.8
T0000137,S000106,2026-04-20,content,0,
T0000138,S000106,2026-05-10,technical,0,
T0000139,S000106,2026-05-16,cancellation_intent,1,1.2
T0000140,S000107,2026-02-26,cancellation_intent,1,2.7
T0000141,S000109,2026-01-30,technical,1,0.6
T0000142,S000110,2026-01-13,content,1,0.5
T0000143,S000110,2026-02-02,technical,1,5.6
T0000144,S000110,2026-04-27,content,0,
T0000145,S000112,2026-03-31,content,1,0.6
T0000146,S000116,2026-02-22,billing,0,
T0000147,S000116,2026-03-24,cancellation_intent,0,
T0000148,S000116,2026-05-19,cancellation_intent,1,4.4
T0000149,S000117,2026-04-24,technical,1,1.0
T0000150,S000119,2026-03-24,technical,1,1.9
T0000151,S000120,2026-04-24,billing,1,1.5
T0000152,S000121,2026-03-09,content,1,3.3
T0000153,S000122,2026-04-26,cancellation_intent,1,1.8
T0000154,S000123,2025-12-22,other,0,
T0000155,S000127,2025-12-31,other,1,
T0000156,S000129,2026-01-20,other,1,1.1
T0000157,S000130,2026-01-28,other,1,0.5
T0000158,S000130,2026-02-09,technical,1,7.8
T0000159,S000130,2026-04-08,content,1,1.6
T0000160,S000132,2026-01-21,billing,1,3.2
T0000161,S000132,2026-01-31,billing,1,0.5
T0000162,S000132,2026-03-05,cancellation_intent,0,
T0000163,S000133,2026-06-05,technical,1,6.1
T0000164,S000134,2026-01-23,content,0,
T0000165,S000134,2026-02-22,cancellation_intent,1,1.0
T0000166,S000135,2026-01-09,other,0,
T0000167,S000135,2026-01-29,other,1,1.8
T0000168,S000139,2026-04-07,cancellation_intent,1,1.7
T0000169,S000139,2026-04-24,technical,1,2.8
T0000170,S000140,2026-04-20,other,1,8.8
T0000171,S000141,2026-04-03,technical,0,
T0000172,S000142,2026-01-12,other,1,2.5
T0000173,S000143,2026-04-24,other,0,
T0000174,S000145,2026-03-16,other,1,0.5
T0000175,S000146,2026-04-03,other,1,0.6
T0000176,S000146,2026-06-15,other,1,7.1
T0000177,S000148,2026-03-25,billing,1,4.3
T0000178,S000150,2026-01-11,other,1,0.8
T0000179,S000151,2026-05-02,technical,0,
T0000180,S000152,2026-05-22,billing,1,1.1
T0000181,S000153,2026-02-24,technical,1,5.3
T0000182,S000153,2026-03-22,other,1,0.6
T0000183,S000153,2026-03-25,content,1,6.5
T0000184,S000153,2026-04-13,cancellation_intent,1,1.1
